,player,nationality,position,team,age,birth_year,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,matches
122,Mahmoud Dahoud,de,MF,Brighton,27,1996,5.0,328,326,2,2,1,0,3,0,0,0,0,0,284,0,8,Matches
123,Ameen Al-Dakhil,be,DF,Burnley,21,2002,11.7,637,590,45,11,2,2,3,34,0,0,0,0,537,2,6,Matches
124,Diogo Dalot,pt,DF,Manchester Utd,24,1999,35.3,1830,1546,277,21,1,7,80,251,5,2,3,0,1486,7,39,Matches
125,Mikkel Damsgaard,dk,MF,Brentford,23,2000,9.4,432,409,21,5,10,3,29,7,7,4,3,0,300,2,19,Matches
126,Danilo,br,MF,Nott'ham Forest,22,2001,19.9,758,717,35,7,4,9,26,1,19,19,0,0,589,6,15,Matches
127,Arnaut Danjuma,nl,"MF,FW",Everton,26,1997,6.6,152,147,5,0,1,1,10,2,1,1,0,0,102,0,8,Matches
128,Jayden Danns,eng,FW,Liverpool,17,2006,0.1,7,7,0,0,1,0,0,0,0,0,0,0,5,0,0,Matches
129,Josh Dasilva,eng,"DF,FW",Brentford,24,1998,0.3,19,17,2,0,0,0,6,0,2,2,0,0,10,0,1,Matches
130,David Datro Fofana,ci,FW,Burnley,20,2002,9.8,173,167,4,0,1,0,3,0,0,0,0,0,117,2,8,Matches
131,Ben Davies,wls,DF,Tottenham,30,1993,12.1,850,788,61,34,3,3,10,27,0,0,0,0,766,1,10,Matches
132,Tom Davies,eng,MF,Sheffield Utd,25,1998,2.5,99,92,5,2,1,0,4,1,0,0,0,0,68,2,5,Matches
133,Craig Dawson,eng,DF,Wolves,33,1990,24.5,1277,1236,38,29,2,22,1,1,0,0,0,0,1104,3,9,Matches
134,Kevin De Bruyne,be,MF,Manchester City,32,1991,13.6,971,840,124,23,11,6,136,24,69,29,16,5,732,7,27,Matches
135,Hannes Delcroix,be,DF,Burnley,24,1999,6.5,350,320,29,3,0,0,5,26,0,0,0,0,300,1,2,Matches
136,Leander Dendoncker,be,MF,Aston Villa,28,1995,1.3,56,56,0,0,0,1,0,0,0,0,0,0,45,0,0,Matches
137,Moussa Diaby,fr,"FW,MF",Aston Villa,24,1999,24.2,619,567,51,3,6,2,45,4,1,0,0,0,485,1,15,Matches
138,Amad Diallo,ci,"FW,MF",Manchester Utd,21,2002,4.3,170,166,4,1,0,1,1,2,1,1,0,0,149,0,3,Matches
139,Amadou Diallo,eng,MF,Newcastle Utd,20,2003,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
140,Rúben Dias,pt,DF,Manchester City,26,1997,28.4,2635,2567,65,46,2,7,13,11,0,0,0,0,2469,3,8,Matches
141,Luis Díaz,co,FW,Liverpool,26,1997,29.2,1075,1040,29,4,4,11,26,24,0,0,0,0,898,6,29,Matches
142,Eric Dier,eng,DF,Tottenham,29,1994,2.2,141,132,9,6,0,0,0,0,0,0,0,0,125,0,0,Matches
143,Lucas Digne,fr,DF,Aston Villa,30,1993,26.8,1351,1095,253,36,0,4,154,181,36,25,5,0,1015,3,42,Matches
144,Issa Diop,fr,DF,Fulham,26,1997,15.8,1080,1041,37,22,1,5,0,2,0,0,0,0,950,2,13,Matches
145,Axel Disasi,fr,DF,Chelsea,25,1998,28.7,2256,2153,98,49,3,11,10,43,0,0,0,0,2031,5,19,Matches
146,Ben Doak,sct,FW,Liverpool,17,2005,0.2,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches
147,Lewis Dobbin,eng,MF,Everton,20,2003,2.6,65,60,3,1,0,0,7,2,0,0,0,0,44,2,3,Matches
148,Matt Doherty,ie,"DF,MF",Wolves,31,1992,12.8,653,566,87,11,0,5,13,76,0,0,0,0,515,0,18,Matches
149,Jeremy Doku,be,"FW,MF",Manchester City,21,2002,17.7,852,844,8,0,2,2,61,5,3,0,0,0,693,0,34,Matches
150,Nicolás Domínguez,ar,"MF,FW",Nott'ham Forest,25,1998,16.6,843,817,22,10,2,5,6,4,1,0,1,0,714,4,13,Matches
151,Jamie Donley,eng,FW,Tottenham,18,2005,0.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Matches
152,Abdoulaye Doucouré,ml,"FW,MF",Everton,30,1993,29.2,893,876,16,0,1,1,26,0,0,0,0,0,683,1,29,Matches
153,Cheick Doucouré,ml,MF,Crystal Palace,23,2000,10.2,422,418,4,4,5,0,1,0,0,0,0,0,367,0,7,Matches
154,Alfie Doughty,eng,DF,Luton Town,23,1999,32.5,1686,1190,489,89,0,9,340,249,151,66,80,5,1121,7,60,Matches
155,Tommy Doyle,eng,MF,Wolves,21,2001,13.6,955,878,69,44,2,15,28,8,15,8,3,0,801,8,11,Matches
156,Radu Drăgușin,ro,DF,Tottenham,21,2002,4.8,370,352,18,8,1,0,0,1,0,0,0,0,326,0,3,Matches
157,Martin Dúbravka,sk,GK,Newcastle Utd,34,1989,22.1,651,443,206,37,0,1,0,0,0,0,0,0,519,2,0,Matches
158,Paul Dummett,wls,DF,Newcastle Utd,31,1991,0.2,23,22,1,0,0,0,0,1,0,0,0,0,21,0,0,Matches
159,Lewis Dunk,eng,DF,Brighton,31,1991,31.9,3233,3005,219,115,2,16,7,5,0,0,0,0,2977,9,5,Matches
160,Jhon Durán,co,"FW,MF",Aston Villa,19,2003,5.3,121,117,4,1,0,0,6,1,0,0,0,0,83,0,10,Matches
161,George Earthy,eng,FW,West Ham,18,2004,0.4,17,17,0,0,0,0,0,0,0,0,0,0,16,0,0,Matches
162,Ederson,br,GK,Manchester City,29,1993,30.9,1234,1077,157,43,0,9,0,0,0,0,0,0,1077,0,1,Matches
163,Odsonne Édouard,fr,"FW,MF",Crystal Palace,25,1998,17.3,350,338,9,0,4,0,10,0,1,0,0,0,249,3,20,Matches
164,John Egan,ie,DF,Sheffield Utd,30,1992,5.4,185,181,2,2,0,0,0,0,0,0,0,0,128,2,1,Matches
165,Hjalmar Ekdal,se,DF,Burnley,24,1998,4.9,217,213,4,4,0,2,0,0,0,0,0,0,191,0,1,Matches
166,Anthony Elanga,se,"FW,MF",Nott'ham Forest,21,2002,27.0,712,695,13,0,4,2,58,6,0,0,0,0,498,4,37,Matches
167,Harvey Elliott,eng,"MF,FW",Liverpool,20,2003,15.0,986,932,44,4,3,8,62,10,19,9,7,0,825,10,17,Matches
168,Mohamed Elneny,eg,MF,Arsenal,31,1992,0.3,40,39,1,1,0,0,0,0,0,0,0,0,39,0,0,Matches
169,Emerson,br,DF,Tottenham,24,1999,12.9,1038,915,122,45,1,2,14,75,0,0,0,0,937,1,23,Matches
170,Julio Enciso,py,"MF,FW",Brighton,19,2004,5.3,178,168,8,2,2,0,8,1,2,0,0,0,132,2,5,Matches
171,Wataru Endo,jp,MF,Liverpool,30,1993,19.1,1315,1295,16,13,5,1,4,2,0,0,0,0,1157,4,19,Matches
172,Christian Eriksen,dk,MF,Manchester Utd,31,1992,12.7,805,745,55,25,5,9,43,3,26,12,8,2,648,5,13,Matches
173,Maxime Estève,fr,DF,Burnley,21,2002,14.5,821,754,66,13,1,3,5,5,0,0,0,0,690,1,10,Matches
