,player,nationality,position,team,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,matches
81,Santiago Bueno,uy,DF,Wolves,24,1998,9.1,5,0.55,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
82,Facundo Buonanotte,ar,"FW,MF",Brighton,18,2004,15.2,38,2.51,26,1,2,3,5,1,2,0.13,2,0,0,0,0,0,Matches
83,Reece Burke,eng,DF,Luton Town,26,1996,18.4,21,1.14,15,1,0,5,0,0,4,0.22,3,0,0,1,0,0,Matches
84,Dan Burn,eng,DF,Newcastle Utd,31,1992,30.3,27,0.89,22,2,1,2,0,0,4,0.13,3,0,0,1,0,0,Matches
85,Mason Burstow,eng,FW,Chelsea,19,2003,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
86,Moisés Caicedo,ec,MF,Chelsea,21,2001,31.8,66,2.07,52,0,3,1,6,4,12,0.38,11,0,0,0,0,1,Matches
87,Tom Cairney,sct,MF,Fulham,32,1991,16.5,71,4.30,62,2,2,2,1,2,13,0.79,11,0,1,0,1,0,Matches
88,Dominic Calvert-Lewin,eng,FW,Everton,26,1997,24.1,54,2.24,37,0,4,7,4,2,6,0.25,3,0,0,3,0,0,Matches
89,Thomas Cannon,ie,FW,Everton,20,2002,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
90,Diego Carlos,br,DF,Aston Villa,30,1993,20.2,9,0.45,9,0,0,0,0,0,2,0.10,2,0,0,0,0,0,Matches
91,Cesare Casadei,it,"FW,MF",Chelsea,20,2003,0.9,4,4.62,2,0,0,0,1,1,0,0.00,0,0,0,0,0,0,Matches
92,Casemiro,br,"MF,DF",Manchester Utd,31,1992,22.0,41,1.86,35,2,0,3,1,0,4,0.18,4,0,0,0,0,0,Matches
93,Kaelan Casey,eng,DF,West Ham,18,2004,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
94,Matty Cash,pl,DF,Aston Villa,25,1997,23.8,44,1.85,34,1,0,6,2,1,8,0.34,7,0,0,0,1,0,Matches
95,Timothy Castagne,be,DF,Fulham,27,1995,29.3,50,1.71,39,2,4,4,0,1,2,0.07,2,0,0,0,0,0,Matches
96,Jonny Castro,es,MF,Wolves,29,1994,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
97,Trevoh Chalobah,eng,DF,Chelsea,24,1999,10.6,5,0.47,5,0,0,0,0,0,1,0.09,1,0,0,0,0,0,Matches
98,Calum Chambers,eng,"MF,DF",Aston Villa,28,1995,1.7,1,0.60,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
99,Youssef Chermiti,pt,FW,Everton,19,2004,2.3,7,3.03,5,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
100,Ben Chilwell,eng,DF,Chelsea,26,1996,8.4,22,2.62,11,8,0,1,2,0,2,0.24,1,0,0,1,0,0,Matches
101,Tawanda Chirewa,zw,"MF,FW",Wolves,19,2003,1.6,3,1.86,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
102,Leon Chiwome,eng,FW,Wolves,17,2006,1.9,1,0.52,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
103,Tahith Chong,nl,"MF,FW",Luton Town,23,1999,22.0,49,2.22,31,0,3,2,11,2,4,0.18,2,0,0,2,0,0,Matches
104,Ryan Christie,sct,MF,Bournemouth,28,1995,32.3,117,3.62,88,8,7,5,6,3,6,0.19,5,1,0,0,0,0,Matches
105,Carney Chukwuemeka,eng,"MF,FW",Chelsea,19,2003,2.5,9,3.57,7,0,1,1,0,0,4,1.59,2,0,1,1,0,0,Matches
106,Bobby Clark,eng,MF,Liverpool,18,2005,1.0,1,1.01,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
107,Jordan Clark,eng,MF,Luton Town,29,1993,14.5,29,2.00,23,0,2,3,1,0,1,0.07,1,0,0,0,0,0,Matches
108,Nathaniel Clyne,eng,DF,Crystal Palace,32,1991,14.9,8,0.54,6,0,0,1,0,1,1,0.07,0,0,0,1,0,0,Matches
109,Séamus Coleman,ie,DF,Everton,34,1988,7.4,6,0.81,5,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
110,Nathan Collins,ie,DF,Brentford,22,2001,29.5,24,0.81,22,0,0,1,0,1,2,0.07,2,0,0,0,0,0,Matches
111,Levi Colwill,eng,DF,Chelsea,20,2003,20.0,27,1.35,21,1,1,4,0,0,3,0.15,3,0,0,0,0,0,Matches
112,Lewis Cook,eng,MF,Bournemouth,26,1997,31.0,77,2.49,48,22,2,2,0,3,4,0.13,3,0,0,0,0,1,Matches
113,Jack Cork,eng,MF,Burnley,34,1989,0.3,1,3.33,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
