,player,nationality,position,team,age,birth_year,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,matches
93,Kaelan Casey,eng,DF,West Ham,18,2004,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
94,Matty Cash,pl,DF,Aston Villa,25,1997,23.8,2,33,13,39.4,1.39,0.55,0.06,0.15,16.2,0,0,0,4.2,4.2,0.13,-2.2,-2.2,Matches
95,Timothy Castagne,be,DF,Fulham,27,1995,29.3,1,14,4,28.6,0.48,0.14,0.07,0.25,11.3,0,0,0,1.6,1.6,0.12,-0.6,-0.6,Matches
96,Jonny Castro,es,MF,Wolves,29,1994,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
97,Trevoh Chalobah,eng,DF,Chelsea,24,1999,10.6,1,2,2,100.0,0.19,0.19,0.50,0.50,9.5,0,0,0,0.2,0.2,0.10,+0.8,+0.8,Matches
98,Calum Chambers,eng,"MF,DF",Aston Villa,28,1995,1.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
99,Youssef Chermiti,pt,FW,Everton,19,2004,2.3,0,7,2,28.6,3.03,0.87,0.00,0.00,14.6,0,0,0,0.7,0.7,0.10,-0.7,-0.7,Matches
100,Ben Chilwell,eng,DF,Chelsea,26,1996,8.4,0,12,4,33.3,1.43,0.48,0.00,0.00,16.6,1,0,0,1.2,1.2,0.10,-1.2,-1.2,Matches
101,Tawanda Chirewa,zw,"MF,FW",Wolves,19,2003,1.6,0,3,1,33.3,1.86,0.62,0.00,0.00,21.0,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
102,Leon Chiwome,eng,FW,Wolves,17,2006,1.9,0,2,0,0.0,1.03,0.00,0.00,,11.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
103,Tahith Chong,nl,"MF,FW",Luton Town,23,1999,22.0,4,31,7,22.6,1.41,0.32,0.13,0.57,16.6,0,0,0,2.7,2.7,0.09,+1.3,+1.3,Matches
