,player,nationality,position,team,age,birth_year,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,matches
555,Adam Webster,eng,DF,Brighton,28,1995,12.7,997,1096,91.0,16938,5838,428,462,92.6,495,529,93.6,56,79,70.9,0,0.1,0.3,-0.1,5,92,4,0,80,Matches
556,Danny Welbeck,eng,"FW,MF",Brighton,32,1990,18.8,423,515,82.1,4847,730,304,349,87.1,91,106,85.8,1,2,50.0,1,1.7,1.4,-0.7,22,23,13,0,44,Matches
557,Timo Werner,de,FW,Tottenham,27,1996,9.0,281,366,76.8,4049,863,163,189,86.2,108,138,78.3,6,12,50.0,3,2.7,2.9,+0.3,15,9,20,5,41,Matches
558,Adam Wharton,eng,MF,Crystal Palace,19,2004,14.4,464,596,77.9,8091,2486,209,244,85.7,199,234,85.0,45,80,56.3,3,2.4,1.5,+0.6,21,51,16,3,79,Matches
559,Ethan Wheatley,eng,FW,Manchester Utd,17,2006,0.2,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
560,Ben White,eng,DF,Arsenal,25,1997,33.2,1828,2177,84.0,28002,9801,999,1099,90.9,713,832,85.7,85,171,49.7,4,3.8,3.7,+0.2,38,172,45,10,192,Matches
561,Joe White,eng,MF,Newcastle Utd,20,2002,0.1,11,12,91.7,172,48,7,8,87.5,3,3,100.0,1,1,100.0,0,0.0,0.0,0.0,0,2,0,0,3,Matches
562,Neco Williams,wls,DF,Nott'ham Forest,22,2001,18.2,519,785,66.1,8061,3375,287,331,86.7,185,288,64.2,32,99,32.3,1,1.6,1.7,-0.6,11,43,17,11,47,Matches
563,Willian,br,FW,Fulham,34,1988,22.8,932,1145,81.4,16128,3848,460,513,89.7,337,407,82.8,109,157,69.4,2,3.9,4.5,-1.9,44,59,69,9,153,Matches
564,Joe Willock,eng,MF,Newcastle Utd,23,1999,4.7,136,164,82.9,2092,658,76,82,92.7,42,55,76.4,12,16,75.0,0,0.6,0.6,-0.6,7,16,3,1,17,Matches
565,Callum Wilson,eng,FW,Newcastle Utd,31,1992,11.0,105,163,64.4,1266,184,65,83,78.3,25,41,61.0,3,7,42.9,1,0.6,0.6,+0.4,8,3,2,0,9,Matches
566,Harry Wilson,wls,FW,Fulham,26,1997,18.0,478,632,75.6,7538,1644,254,294,86.4,153,196,78.1,48,83,57.8,6,3.5,2.7,+2.5,22,34,26,7,60,Matches
567,Yoane Wissa,cd,FW,Brentford,26,1996,27.7,327,462,70.8,4297,1135,197,248,79.4,84,124,67.7,16,29,55.2,3,3.9,2.0,-0.9,30,26,16,4,48,Matches
568,Chris Wood,nz,FW,Nott'ham Forest,31,1991,20.1,278,433,64.2,3415,784,178,260,68.5,70,108,64.8,7,11,63.6,1,2.1,1.1,-1.1,22,19,3,0,30,Matches
569,Cauley Woodrow,eng,"FW,MF",Luton Town,28,1994,4.7,110,152,72.4,1530,250,66,82,80.5,31,40,77.5,4,12,33.3,1,1.2,0.9,-0.2,9,5,4,4,6,Matches
570,Joe Worrall,eng,DF,Nott'ham Forest,26,1997,4.9,138,164,84.1,2910,1068,25,30,83.3,98,105,93.3,14,27,51.9,0,0.2,0.3,-0.2,2,5,0,0,8,Matches
571,Yehor Yarmoliuk,ua,MF,Brentford,19,2004,7.6,221,298,74.2,3416,801,117,140,83.6,80,102,78.4,12,28,42.9,0,0.1,0.6,-0.1,3,17,10,1,35,Matches
572,Ryan Yates,eng,MF,Nott'ham Forest,25,1997,22.1,658,827,79.6,10590,2717,315,375,84.0,279,324,86.1,37,67,55.2,1,0.8,0.6,+0.2,7,59,10,0,73,Matches
573,Ashley Young,eng,"DF,MF",Everton,38,1985,25.3,723,1052,68.7,12752,5653,339,386,87.8,290,384,75.5,83,219,37.9,0,1.5,1.4,-1.5,21,62,22,11,82,Matches
574,Illia Zabarnyi,ua,DF,Bournemouth,20,2002,37.0,1471,1805,81.5,30757,10546,392,458,85.6,880,952,92.4,188,362,51.9,0,0.4,0.6,-0.4,7,127,11,0,109,Matches
575,Nicolò Zaniolo,it,"FW,MF",Aston Villa,24,1999,9.3,150,228,65.8,2141,550,94,119,79.0,44,62,71.0,6,15,40.0,0,1.0,0.7,-1.0,10,17,5,0,30,Matches
576,Anass Zaroury,ma,"FW,MF",Burnley,22,2000,1.7,43,70,61.4,714,120,23,31,74.2,13,21,61.9,6,11,54.5,0,0.0,0.1,0.0,2,2,2,1,2,Matches
577,Oleksandr Zinchenko,ua,DF,Arsenal,26,1996,19.1,1374,1568,87.6,23132,6928,653,706,92.5,601,667,90.1,95,134,70.9,2,2.5,2.9,-0.5,29,154,49,4,229,Matches
578,Kurt Zouma,fr,DF,West Ham,28,1994,31.5,962,1148,83.8,18843,6791,335,365,91.8,509,558,91.2,111,198,56.1,0,0.2,0.1,-0.2,4,57,1,0,53,Matches
579,Martin Ødegaard,no,MF,Arsenal,24,1998,34.3,1692,2006,84.3,25780,7898,907,992,91.4,635,744,85.3,91,140,65.0,10,9.6,11.2,+0.4,102,160,130,13,344,Matches
