,player,nationality,position,team,age,birth_year,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy,matches
21,Miguel Almirón,py,FW,Newcastle Utd,29,1994,33,"1,937",59,56.6,21.5,23,74,5,10,23,0,1.52,40,40,0,0.00,-1.40,39.2,37.4,+1.8,+0.08,-0.70,Matches
22,Edson Álvarez,mx,MF,West Ham,25,1997,31,"2,377",77,69.5,26.4,28,82,18,3,25,1,1.48,40,45,-5,-0.19,+0.59,35.4,49.0,-13.6,-0.52,-0.07,Matches
23,Julián Álvarez,ar,"MF,FW",Manchester City,23,2000,36,"2,647",74,77.4,29.4,31,83,15,5,13,2,2.42,76,24,+52,+1.77,+0.60,61.4,25.9,+35.5,+1.21,+0.11,Matches
24,Steven Alzate,co,MF,Brighton,24,1998,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
25,Harry Amass,eng,DF,Manchester Utd,16,2007,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
26,Zeki Amdouni,ch,FW,Burnley,22,2000,34,"1,953",57,57.1,21.7,27,69,2,7,14,4,0.62,20,41,-21,-0.97,+0.01,19.5,36.2,-16.7,-0.77,+0.03,Matches
27,Jordan Amissah,gh,GK,Sheffield Utd,21,2001,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
28,Sofyan Amrabat,ma,"MF,DF",Manchester Utd,26,1996,21,938,45,27.4,10.4,10,83,6,11,10,8,1.71,8,15,-7,-0.67,-0.89,14.3,19.1,-4.7,-0.45,-0.17,Matches
29,Joseph Anang,eng,GK,West Ham,23,2000,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
30,Joachim Andersen,dk,DF,Crystal Palace,27,1996,38,"3,415",90,99.9,37.9,38,90,36,0,,0,1.29,57,58,-1,-0.03,-0.03,48.6,52.0,-3.4,-0.09,-0.09,Matches
31,Elliot Anderson,eng,"MF,FW",Newcastle Utd,20,2002,21,"1,027",49,30.0,11.4,10,80,3,11,21,0,1.86,30,14,+16,+1.40,+1.14,25.9,12.2,+13.7,+1.20,+1.17,Matches
32,Vincent Angelini,sct,GK,Brentford,19,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
33,Jaidon Anthony,eng,FW,Bournemouth,23,1999,3,152,51,4.4,1.7,2,61,0,1,31,0,0.33,1,5,-4,-2.37,-2.12,0.6,4.4,-3.8,-2.27,-2.31,Matches
34,Michail Antonio,jm,FW,West Ham,33,1990,26,"1,695",65,49.6,18.8,21,75,2,5,26,0,1.27,33,34,-1,-0.05,+0.63,27.1,35.1,-8.0,-0.42,+0.14,Matches
35,Antony,br,FW,Manchester Utd,23,2000,29,"1,324",46,38.7,14.7,15,73,3,14,16,4,1.41,20,26,-6,-0.41,-0.62,25.5,25.4,+0.1,+0.01,+0.55,Matches
36,Oliver Arblaster,eng,MF,Sheffield Utd,19,2004,12,943,79,27.6,10.5,11,83,7,1,27,2,0.25,13,28,-15,-1.43,+0.53,14.0,20.3,-6.3,-0.60,+0.56,Matches
37,Cameron Archer,eng,"FW,MF",Sheffield Utd,22,2001,29,"1,832",63,53.6,20.4,21,80,9,8,19,0,0.48,22,50,-28,-1.38,+0.95,23.6,41.6,-18.0,-0.88,+0.28,Matches
38,Cameron Archer,eng,MF,Aston Villa,22,2001,1,6,6,0.2,0.1,0,,0,1,6,1,3.00,0,0,0,0.00,-0.40,0.0,0.0,0.0,0.00,-0.09,Matches
39,Alphonse Areola,fr,GK,West Ham,30,1993,31,"2,699",87,78.9,30.0,31,87,28,0,,2,1.35,49,53,-4,-0.13,+1.11,41.7,54.3,-12.7,-0.42,+0.34,Matches
40,Benjamin Arthur,eng,DF,Brentford,17,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
41,Lorenz Assignon,tg,DF,Burnley,23,2000,15,"1,234",82,36.1,13.7,15,82,10,0,,0,0.73,14,30,-16,-1.17,-0.30,17.4,28.7,-11.3,-0.83,-0.07,Matches
42,Bigo Atom,de,DF,Brighton,18,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
43,Serge Aurier,ci,"DF,MF",Nott'ham Forest,30,1992,12,833,69,24.4,9.3,10,80,6,2,18,1,1.00,9,15,-6,-0.65,-0.23,10.1,14.1,-4.0,-0.43,-0.45,Matches
44,Brandon Austin,eng,GK,Tottenham,24,1999,0,,,,,0,,0,0,,18,,,,,,,,,,,,Matches
