,player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
60,Jordan Beyer,de,DF,Burnley,23,2000,13.7,35,20,22,12,1,14,24,58.3,10,22,15,7,16,51,68,1,Matches
61,Philip Billing,dk,MF,Bournemouth,27,1996,15.5,33,16,7,22,4,9,27,33.3,18,31,5,26,20,53,28,1,Matches
62,Yves Bissouma,ml,MF,Tottenham,26,1996,23.0,80,52,32,36,12,41,61,67.2,20,28,5,23,37,117,43,3,Matches
63,Benicio Boaitey,eng,"FW,DF",Brighton,19,2004,0.4,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,2,0,Matches
64,Oscar Bobb,no,"FW,MF",Manchester City,20,2003,3.4,7,3,1,2,4,2,4,50.0,2,4,0,4,5,12,1,0,Matches
65,Jayden Bogle,eng,DF,Sheffield Utd,23,2000,31.0,66,36,43,21,2,35,70,50.0,35,42,11,31,32,98,97,0,Matches
66,Willy Boly,ci,DF,Nott'ham Forest,32,1991,16.0,46,29,36,9,1,22,40,55.0,18,32,21,11,25,71,90,0,Matches
67,Sven Botman,nl,DF,Newcastle Utd,23,2000,15.3,20,13,14,6,0,8,13,61.5,5,20,16,4,9,29,61,3,Matches
68,Jarrod Bowen,eng,FW,West Ham,26,1996,33.5,42,28,14,14,14,13,35,37.1,22,37,5,32,19,61,14,0,Matches
69,Conor Bradley,nir,DF,Liverpool,20,2003,8.4,33,25,14,12,7,24,38,63.2,14,17,1,16,10,43,14,0,Matches
70,Jarrad Branthwaite,eng,DF,Everton,21,2002,34.6,66,32,42,22,2,45,62,72.6,17,51,36,15,50,116,163,2,Matches
71,Ben Brereton,cl,"FW,MF",Sheffield Utd,24,1999,12.3,9,4,4,4,1,4,10,40.0,6,9,3,6,3,12,12,0,Matches
72,Rhian Brewster,eng,"FW,MF",Sheffield Utd,23,2000,3.8,5,1,1,2,2,0,2,0.0,2,2,0,2,1,6,2,0,Matches
73,Armando Broja,al,FW,Chelsea,21,2001,5.0,3,0,0,1,2,1,2,50.0,1,5,1,4,0,3,3,0,Matches
74,Armando Broja,al,FW,Fulham,21,2001,1.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
75,Andre Brooks,eng,"MF,DF",Sheffield Utd,19,2003,10.4,22,13,7,11,4,9,21,42.9,12,13,1,12,14,36,20,0,Matches
76,David Brooks,wls,"FW,MF",Bournemouth,26,1997,3.1,5,4,2,1,2,2,4,50.0,2,3,0,3,2,7,2,0,Matches
77,Jacob Brown,sct,"MF,FW",Luton Town,25,1998,11.3,19,12,7,7,5,7,18,38.9,11,20,1,19,8,27,22,0,Matches
78,Josh Brownhill,eng,MF,Burnley,27,1995,25.0,61,35,23,28,10,27,37,73.0,10,33,8,25,34,95,40,1,Matches
79,Jacob Bruun Larsen,dk,"MF,FW",Burnley,24,1998,13.9,9,4,4,3,2,7,21,33.3,14,16,2,14,7,16,23,0,Matches
80,Hugo Bueno,es,"DF,MF",Wolves,20,2002,8.2,21,14,12,7,2,12,19,63.2,7,17,4,13,6,27,24,0,Matches
81,Santiago Bueno,uy,DF,Wolves,24,1998,9.1,13,7,5,7,1,5,11,45.5,6,22,12,10,6,19,33,0,Matches
82,Facundo Buonanotte,ar,"FW,MF",Brighton,18,2004,15.2,42,22,13,22,7,14,44,31.8,30,22,3,19,8,50,5,0,Matches
