,player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,matches
79,Jacob Bruun Larsen,dk,"MF,FW",Burnley,24,1998,13.9,1,0,0,13,7,11,62,7,4,0,0,0,64,12,28,30.0,Matches
80,Hugo Bueno,es,"DF,MF",Wolves,20,2002,8.2,1,0,0,7,6,1,29,6,14,0,0,1,37,9,12,42.9,Matches
81,Santiago Bueno,uy,DF,Wolves,24,1998,9.1,1,0,0,10,5,0,2,6,7,0,0,0,30,15,26,36.6,Matches
82,Facundo Buonanotte,ar,"FW,MF",Brighton,18,2004,15.2,7,0,0,34,41,3,6,8,22,0,0,0,66,6,16,27.3,Matches
83,Reece Burke,eng,DF,Luton Town,26,1996,18.4,5,0,0,20,12,1,13,18,23,0,1,0,62,46,32,59.0,Matches
84,Dan Burn,eng,DF,Newcastle Utd,31,1992,30.3,4,0,0,32,11,4,11,37,33,0,1,0,124,101,47,68.2,Matches
85,Mason Burstow,eng,FW,Chelsea,19,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
86,Moisés Caicedo,ec,MF,Chelsea,21,2001,31.8,11,0,0,50,49,0,10,37,46,0,1,0,200,30,31,49.2,Matches
87,Tom Cairney,sct,MF,Fulham,32,1991,16.5,3,0,0,16,23,0,25,13,16,1,0,1,105,14,6,70.0,Matches
88,Dominic Calvert-Lewin,eng,FW,Everton,26,1997,24.1,2,0,0,31,32,24,3,4,6,0,0,0,46,137,144,48.8,Matches
89,Thomas Cannon,ie,FW,Everton,20,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
90,Diego Carlos,br,DF,Aston Villa,30,1993,20.2,4,0,0,26,4,1,1,13,16,0,0,0,78,21,26,44.7,Matches
91,Cesare Casadei,it,"FW,MF",Chelsea,20,2003,0.9,0,0,0,4,1,0,0,0,3,0,0,0,1,12,4,75.0,Matches
92,Casemiro,br,"MF,DF",Manchester Utd,31,1992,22.0,7,0,0,30,10,6,13,18,56,0,1,0,133,42,22,65.6,Matches
93,Kaelan Casey,eng,DF,West Ham,18,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
94,Matty Cash,pl,DF,Aston Villa,25,1997,23.8,8,0,0,30,22,0,39,18,31,0,1,1,110,15,21,41.7,Matches
95,Timothy Castagne,be,DF,Fulham,27,1995,29.3,3,0,0,22,10,3,50,38,24,0,0,0,119,35,32,52.2,Matches
96,Jonny Castro,es,MF,Wolves,29,1994,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
97,Trevoh Chalobah,eng,DF,Chelsea,24,1999,10.6,1,0,0,3,3,0,0,8,12,0,0,0,46,19,22,46.3,Matches
98,Calum Chambers,eng,"MF,DF",Aston Villa,28,1995,1.7,1,0,0,3,1,0,0,2,0,0,0,0,8,1,1,50.0,Matches
99,Youssef Chermiti,pt,FW,Everton,19,2004,2.3,3,0,0,11,4,6,0,1,2,0,0,0,9,15,19,44.1,Matches
100,Ben Chilwell,eng,DF,Chelsea,26,1996,8.4,5,0,0,11,12,4,43,4,10,0,0,0,33,12,15,44.4,Matches
101,Tawanda Chirewa,zw,"MF,FW",Wolves,19,2003,1.6,1,0,0,4,2,1,4,1,3,0,0,0,3,1,3,25.0,Matches
102,Leon Chiwome,eng,FW,Wolves,17,2006,1.9,0,0,0,2,2,2,0,0,1,0,0,0,5,2,6,25.0,Matches
103,Tahith Chong,nl,"MF,FW",Luton Town,23,1999,22.0,4,0,0,21,64,4,35,8,22,0,0,0,104,9,22,29.0,Matches
104,Ryan Christie,sct,MF,Bournemouth,28,1995,32.3,6,0,0,48,38,5,73,52,44,0,1,0,231,21,38,35.6,Matches
105,Carney Chukwuemeka,eng,"MF,FW",Chelsea,19,2003,2.5,2,0,0,3,2,0,1,0,4,0,0,0,11,1,3,25.0,Matches
106,Bobby Clark,eng,MF,Liverpool,18,2005,1.0,0,0,0,4,3,0,0,1,1,0,0,0,6,0,0,,Matches
107,Jordan Clark,eng,MF,Luton Town,29,1993,14.5,4,0,0,14,26,5,23,11,17,0,0,0,59,18,15,54.5,Matches
108,Nathaniel Clyne,eng,DF,Crystal Palace,32,1991,14.9,0,0,0,6,3,0,9,10,15,0,0,0,50,13,8,61.9,Matches
109,Séamus Coleman,ie,DF,Everton,34,1988,7.4,0,0,0,6,5,0,13,7,14,0,0,1,39,1,4,20.0,Matches
110,Nathan Collins,ie,DF,Brentford,22,2001,29.5,3,0,0,12,23,3,4,44,20,0,0,0,136,73,35,67.6,Matches
111,Levi Colwill,eng,DF,Chelsea,20,2003,20.0,2,0,0,25,14,4,12,26,30,0,0,0,96,43,20,68.3,Matches
112,Lewis Cook,eng,MF,Bournemouth,26,1997,31.0,5,1,0,39,16,2,132,65,41,0,0,0,228,42,29,59.2,Matches
113,Jack Cork,eng,MF,Burnley,34,1989,0.3,0,0,0,4,1,0,1,1,0,0,0,0,2,0,2,0.0,Matches
114,Maxwel Cornet,ci,"MF,FW",West Ham,26,1996,1.2,0,0,0,2,2,3,1,2,2,0,0,0,8,0,5,0.0,Matches
115,Vladimír Coufal,cz,DF,West Ham,30,1992,34.8,7,1,1,32,26,1,106,43,41,0,1,0,154,40,37,51.9,Matches
116,Philippe Coutinho,br,"MF,FW",Aston Villa,31,1992,0.3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,Matches
117,Aaron Cresswell,eng,"DF,FW",West Ham,33,1989,4.8,1,0,0,2,3,1,11,3,2,0,0,0,18,6,3,66.7,Matches
118,Marc Cucurella,es,DF,Chelsea,25,1998,19.8,10,0,0,23,35,1,16,22,38,1,1,1,96,22,17,56.4,Matches
119,Josh Cullen,ie,MF,Burnley,27,1996,22.9,9,0,0,24,49,0,26,15,29,0,0,0,141,19,24,44.2,Matches
120,Matheus Cunha,br,"FW,MF",Wolves,24,1999,27.1,9,0,0,31,50,4,24,13,16,1,0,0,114,16,47,25.4,Matches
121,Sam Curtis,ie,DF,Sheffield Utd,17,2005,0.3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,Matches
122,Mahmoud Dahoud,de,MF,Brighton,27,1996,5.0,1,1,0,6,2,0,3,1,4,0,0,0,26,0,5,0.0,Matches
123,Ameen Al-Dakhil,be,DF,Burnley,21,2002,11.7,1,0,0,6,4,0,3,12,5,0,1,1,50,14,23,37.8,Matches
124,Diogo Dalot,pt,DF,Manchester Utd,24,1999,35.3,6,1,1,45,14,2,80,37,51,0,1,0,195,32,25,56.1,Matches
125,Mikkel Damsgaard,dk,MF,Brentford,23,2000,9.4,2,0,0,14,8,3,29,11,17,0,0,0,57,12,11,52.2,Matches
126,Danilo,br,MF,Nott'ham Forest,22,2001,19.9,4,0,0,13,9,2,26,35,18,0,1,0,118,14,10,58.3,Matches
127,Arnaut Danjuma,nl,"MF,FW",Everton,26,1997,6.6,0,0,0,7,5,3,10,3,4,0,0,0,25,3,5,37.5,Matches
128,Jayden Danns,eng,FW,Liverpool,17,2006,0.1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0.0,Matches
129,Josh Dasilva,eng,"DF,FW",Brentford,24,1998,0.3,0,0,0,2,0,0,6,0,1,0,0,0,2,0,0,,Matches
130,David Datro Fofana,ci,FW,Burnley,20,2002,9.8,1,0,0,17,10,9,3,1,5,0,0,0,22,13,33,28.3,Matches
131,Ben Davies,wls,DF,Tottenham,30,1993,12.1,2,0,0,8,19,0,10,10,17,1,0,0,53,29,21,58.0,Matches
132,Tom Davies,eng,MF,Sheffield Utd,25,1998,2.5,2,0,0,7,2,0,4,3,5,0,1,0,21,3,3,50.0,Matches
133,Craig Dawson,eng,DF,Wolves,33,1990,24.5,7,0,0,20,15,4,1,16,20,0,0,0,100,63,32,66.3,Matches
134,Kevin De Bruyne,be,MF,Manchester City,32,1991,13.6,2,0,0,11,13,1,136,4,9,0,0,0,54,6,5,54.5,Matches
135,Hannes Delcroix,be,DF,Burnley,24,1999,6.5,2,0,0,6,0,0,5,9,6,0,0,0,29,8,9,47.1,Matches
136,Leander Dendoncker,be,MF,Aston Villa,28,1995,1.3,0,0,0,1,1,0,0,2,4,0,0,0,4,4,5,44.4,Matches
137,Moussa Diaby,fr,"FW,MF",Aston Villa,24,1999,24.2,1,0,0,16,15,6,45,9,5,0,0,0,62,2,15,11.8,Matches
138,Amad Diallo,ci,"FW,MF",Manchester Utd,21,2002,4.3,1,0,0,5,4,0,1,1,3,0,0,0,14,4,6,40.0,Matches
139,Amadou Diallo,eng,MF,Newcastle Utd,20,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
140,Rúben Dias,pt,DF,Manchester City,26,1997,28.4,0,0,0,23,15,0,13,30,20,0,1,1,108,47,42,52.8,Matches
141,Luis Díaz,co,FW,Liverpool,26,1997,29.2,3,0,0,54,42,20,26,3,25,1,0,0,127,26,48,35.1,Matches
142,Eric Dier,eng,DF,Tottenham,29,1994,2.2,0,0,0,0,1,2,0,2,1,0,0,0,7,3,5,37.5,Matches
143,Lucas Digne,fr,DF,Aston Villa,30,1993,26.8,7,0,0,29,30,3,154,26,19,0,0,0,101,42,24,63.6,Matches
144,Issa Diop,fr,DF,Fulham,26,1997,15.8,4,1,1,17,4,0,0,17,16,0,3,0,65,25,17,59.5,Matches
145,Axel Disasi,fr,DF,Chelsea,25,1998,28.7,6,0,0,17,17,4,10,18,19,0,0,1,150,72,31,69.9,Matches
146,Ben Doak,sct,FW,Liverpool,17,2005,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
147,Lewis Dobbin,eng,MF,Everton,20,2003,2.6,1,0,0,3,6,0,7,1,7,0,0,0,20,2,1,66.7,Matches
